
tensor([0.3527, 0.6473])






































CE Loss: 0.4967166995629668: 100%|██████████| 104/104 [01:46<00:00,  1.03s/it]












































CE Loss: 0.43444354420657766: 100%|██████████| 104/104 [01:45<00:00,  1.01s/it]






































CE Loss: 0.4355775875783013: 100%|██████████| 104/104 [01:45<00:00,  1.01s/it]
















































CE Loss: 0.38106589504452637: 100%|██████████| 104/104 [01:43<00:00,  1.00it/s]













































CE Loss: 0.3811503493970679: 100%|██████████| 104/104 [01:43<00:00,  1.01it/s]
















































CE Loss: 0.4110776809470136: 100%|██████████| 104/104 [01:47<00:00,  1.03s/it]















































CE Loss: 0.3281379659522989: 100%|██████████| 104/104 [01:45<00:00,  1.02s/it]











































CE Loss: 0.3981499170898929: 100%|██████████| 104/104 [01:44<00:00,  1.01s/it]
















































CE Loss: 0.41760445452591244: 100%|██████████| 104/104 [01:44<00:00,  1.01s/it]















































CE Loss: 0.4026862212796082: 100%|██████████| 104/104 [01:46<00:00,  1.02s/it]





























100%|██████████| 56/56 [01:12<00:00,  1.30s/it]
