
tensor([0.1764, 0.8236])















































CE Loss: 0.5388804521238388: 100%|██████████| 104/104 [01:43<00:00,  1.00it/s]












































CE Loss: 0.554441282973271: 100%|██████████| 104/104 [01:41<00:00,  1.03it/s]














































CE Loss: 0.5097433344800343: 100%|██████████| 104/104 [01:42<00:00,  1.01it/s]










































CE Loss: 0.49272153255089307: 100%|██████████| 104/104 [01:41<00:00,  1.03it/s]












































CE Loss: 0.43773636432696683: 100%|██████████| 104/104 [01:43<00:00,  1.01it/s]













































CE Loss: 0.4340442083054042: 100%|██████████| 104/104 [01:43<00:00,  1.01it/s]
















































CE Loss: 0.47324768993859145: 100%|██████████| 104/104 [01:42<00:00,  1.01it/s]













































CE Loss: 0.46772217904325836: 100%|██████████| 104/104 [01:41<00:00,  1.03it/s]















































CE Loss: 0.4338268912722205: 100%|██████████| 104/104 [01:41<00:00,  1.02it/s]










































CE Loss: 0.4208538436814565: 100%|██████████| 104/104 [01:41<00:00,  1.02it/s]





























100%|██████████| 56/56 [01:12<00:00,  1.29s/it]
